a,b,c,d,primitive,family
100,148,194,226,0,sporadic
18,167,193,228,1,sporadic
36,120,216,228,0,sporadic
93,99,216,228,0,sporadic
114,152,190,228,0,"A:(3,4,5,6)-multiple"
76,165,192,229,1,sporadic
102,157,192,229,1,sporadic
6,68,228,230,0,sporadic
15,180,185,230,0,"B:Ramanujan(m,n)"
135,150,185,230,0,"B:Ramanujan(m,n)"
56,102,223,231,1,sporadic
98,136,207,231,1,sporadic
103,140,204,231,1,sporadic
46,172,194,232,0,"B:Ramanujan(m,n)"
60,168,196,232,0,"B:Ramanujan(m,n)"
85,107,220,232,1,sporadic
88,120,216,232,0,sporadic
26,156,208,234,0,sporadic
117,156,195,234,0,"A:(3,4,5,6)-multiple"
123,125,208,234,1,sporadic
54,163,204,235,1,sporadic
78,172,195,235,1,sporadic
96,163,198,235,1,sporadic
147,157,186,238,1,sporadic
15,114,230,239,1,sporadic
23,178,200,239,1,sporadic
18,110,232,240,0,sporadic
84,168,204,240,0,"B:Ramanujan(m,n)"
120,160,200,240,0,"A:(3,4,5,6)-multiple"
113,124,220,241,1,sporadic
98,168,204,242,0,sporadic
27,162,216,243,0,sporadic
75,144,222,243,0,sporadic
38,184,202,244,0,"B:Ramanujan(m,n)"
73,174,207,244,1,"B:Ramanujan(m,n)"
12,102,240,246,0,sporadic
36,192,198,246,0,sporadic
57,180,207,246,0,"B:Ramanujan(m,n)"
88,102,236,246,0,sporadic
113,166,207,246,1,"B:Ramanujan(m,n)"
123,164,205,246,0,"A:(3,4,5,6)-multiple"
39,130,234,247,0,sporadic
4,57,248,249,1,sporadic
40,170,220,250,0,sporadic
6,179,216,251,1,sporadic
28,168,224,252,0,sporadic
46,188,210,252,0,"B:Ramanujan(m,n)"
84,159,225,252,0,sporadic
126,168,210,252,0,"A:(3,4,5,6)-multiple"
162,171,189,252,0,"B:Ramanujan(m,n)"
26,130,242,254,0,sporadic
163,164,197,254,1,"B:Ramanujan(m,n)"
150,183,192,255,0,sporadic
9,58,255,256,1,sporadic
9,183,220,256,1,sporadic
22,57,255,256,1,sporadic
76,114,248,258,0,sporadic
101,178,219,258,1,"B:Ramanujan(m,n)"
129,172,215,258,0,"A:(3,4,5,6)-multiple"
65,127,248,260,1,sporadic
91,182,221,260,0,"B:Ramanujan(m,n)"
29,174,232,261,0,sporadic
60,162,237,261,0,sporadic
78,165,234,261,0,sporadic
99,135,243,261,0,sporadic
114,144,237,261,0,sporadic
19,93,258,262,1,sporadic
10,152,246,264,0,sporadic
63,129,252,264,0,sporadic
75,93,258,264,0,sporadic
96,138,246,264,0,sporadic
132,176,220,264,0,"A:(3,4,5,6)-multiple"
145,170,220,265,0,sporadic
42,140,252,266,0,sporadic
49,80,263,266,1,sporadic
51,120,258,267,0,sporadic
88,204,216,268,0,sporadic
172,190,194,268,0,"B:Ramanujan(m,n)"
66,117,260,269,1,sporadic
152,158,229,269,1,sporadic
23,102,265,270,1,sporadic
30,180,240,270,0,sporadic
60,95,265,270,0,sporadic
75,114,261,270,0,sporadic
135,180,225,270,0,"A:(3,4,5,6)-multiple"
174,177,207,270,0,"B:Ramanujan(m,n)"
88,146,256,274,0,sporadic
44,187,242,275,0,sporadic
158,171,228,275,1,sporadic
18,216,222,276,0,"B:Ramanujan(m,n)"
138,184,230,276,0,"A:(3,4,5,6)-multiple"
144,152,244,276,0,sporadic
162,180,222,276,0,"B:Ramanujan(m,n)"
188,192,198,278,0,sporadic
31,186,248,279,0,sporadic
71,150,262,279,1,sporadic
96,162,255,279,0,sporadic
138,200,223,279,1,sporadic
28,216,228,280,0,"B:Ramanujan(m,n)"
98,196,238,280,0,"B:Ramanujan(m,n)"
180,190,210,280,0,"B:Ramanujan(m,n)"
50,172,257,281,1,sporadic
81,202,239,282,1,"B:Ramanujan(m,n)"
141,188,235,282,0,"A:(3,4,5,6)-multiple"
144,170,244,282,0,sporadic
56,92,280,284,0,sporadic
62,128,274,284,0,sporadic
113,116,271,284,1,sporadic
45,150,270,285,0,sporadic
14,119,280,287,0,sporadic
42,224,231,287,0,sporadic
95,196,248,287,1,sporadic
2,142,276,288,0,sporadic
32,192,256,288,0,sporadic
57,159,270,288,0,sporadic
71,177,262,288,1,sporadic
136,156,260,288,0,sporadic
144,192,240,288,0,"A:(3,4,5,6)-multiple"
57,126,280,289,1,sporadic
24,162,272,290,0,sporadic
75,210,245,290,0,"B:Ramanujan(m,n)"
110,150,270,290,0,sporadic
179,188,229,290,1,"B:Ramanujan(m,n)"
135,207,237,291,0,sporadic
58,201,255,292,1,sporadic
106,227,229,292,1,sporadic
183,201,220,292,1,sporadic
8,229,236,293,1,sporadic
14,189,264,293,1,sporadic
44,150,280,294,0,sporadic
147,196,245,294,0,"A:(3,4,5,6)-multiple"
159,214,228,295,1,sporadic
33,198,264,297,0,sporadic
47,75,295,297,1,sporadic
15,64,297,298,1,sporadic
48,204,264,300,0,sporadic
105,210,255,300,0,"B:Ramanujan(m,n)"
142,146,276,300,0,sporadic
150,200,250,300,0,"A:(3,4,5,6)-multiple"
152,172,264,300,0,sporadic
17,191,274,302,1,sporadic
23,81,300,302,1,sporadic
55,113,296,302,1,sporadic
92,94,296,302,0,sporadic
145,179,267,303,1,sporadic
151,162,272,303,1,sporadic
48,160,288,304,0,sporadic
124,132,288,304,0,sporadic
53,153,291,305,1,sporadic
34,204,272,306,0,sporadic
153,204,255,306,0,"A:(3,4,5,6)-multiple"
27,64,306,307,1,sporadic
112,161,287,308,0,sporadic
198,209,231,308,0,"B:Ramanujan(m,n)"
7,119,303,309,1,sporadic
36,93,306,309,0,sporadic
50,184,285,309,1,sporadic
93,242,244,309,1,sporadic
102,194,279,311,1,sporadic
130,174,284,312,0,sporadic
156,208,260,312,0,"A:(3,4,5,6)-multiple"
35,210,280,315,0,sporadic
99,210,276,315,0,sporadic
15,213,281,317,1,sporadic
162,173,282,317,1,sporadic
6,242,262,318,0,sporadic
159,212,265,318,0,"A:(3,4,5,6)-multiple"
174,204,264,318,0,sporadic
121,165,297,319,0,sporadic
112,224,272,320,0,"B:Ramanujan(m,n)"
138,246,248,320,0,sporadic
73,120,314,321,1,sporadic
105,196,290,321,1,sporadic
21,252,259,322,0,"B:Ramanujan(m,n)"
189,210,259,322,0,"B:Ramanujan(m,n)"
51,170,306,323,0,sporadic
152,219,270,323,1,sporadic
36,216,288,324,0,sporadic
39,153,312,324,0,sporadic
41,114,319,324,1,sporadic
45,246,267,324,0,"B:Ramanujan(m,n)"
72,114,318,324,0,sporadic
100,192,296,324,0,sporadic
102,227,277,324,1,sporadic
118,186,296,324,0,sporadic
162,216,270,324,0,"A:(3,4,5,6)-multiple"
173,214,267,324,1,"B:Ramanujan(m,n)"
52,221,286,325,0,sporadic
107,230,277,326,1,"B:Ramanujan(m,n)"
31,248,270,327,1,sporadic
44,199,300,327,1,sporadic
135,164,304,327,1,sporadic
16,136,320,328,0,sporadic
48,256,264,328,0,sporadic
76,240,276,328,0,"B:Ramanujan(m,n)"
138,198,292,328,0,sporadic
87,225,288,330,0,sporadic
144,227,277,330,1,sporadic
165,220,275,330,0,"A:(3,4,5,6)-multiple"
88,222,291,331,1,sporadic
185,218,271,332,1,"B:Ramanujan(m,n)"
37,222,296,333,0,sporadic
48,141,324,333,0,sporadic
24,172,318,334,0,sporadic
42,181,315,334,1,sporadic
110,255,270,335,0,sporadic
183,192,290,335,1,sporadic
40,203,309,336,1,sporadic
112,212,300,336,0,sporadic
168,224,280,336,0,"A:(3,4,5,6)-multiple"
216,228,252,336,0,"B:Ramanujan(m,n)"
150,222,291,339,0,sporadic
3,214,309,340,1,sporadic
119,238,289,340,0,"B:Ramanujan(m,n)"
192,214,282,340,0,sporadic
200,244,256,340,0,sporadic
38,228,304,342,0,sporadic
54,180,324,342,0,sporadic
108,160,326,342,0,sporadic
171,228,285,342,0,"A:(3,4,5,6)-multiple"
214,216,272,342,0,sporadic
2,270,276,344,0,"B:Ramanujan(m,n)"
192,249,263,344,1,sporadic
9,102,342,345,0,sporadic
180,190,305,345,0,sporadic
5,232,307,346,1,sporadic
69,258,291,348,0,"B:Ramanujan(m,n)"
80,216,316,348,0,sporadic
90,252,294,348,0,"B:Ramanujan(m,n)"
94,194,324,348,0,sporadic
104,220,312,348,0,sporadic
132,180,324,348,0,sporadic
152,192,316,348,0,sporadic
174,232,290,348,0,"A:(3,4,5,6)-multiple"
48,268,285,349,1,sporadic
35,270,285,350,0,"B:Ramanujan(m,n)"
36,147,341,350,1,sporadic
56,238,308,350,0,sporadic
39,234,312,351,0,sporadic
174,247,284,351,1,sporadic
50,184,334,352,0,sporadic
84,172,336,352,0,sporadic
100,124,344,352,0,sporadic
127,204,321,352,1,sporadic
128,184,328,352,0,sporadic
158,241,295,352,1,sporadic
27,232,317,354,1,sporadic
96,274,284,354,0,sporadic
100,213,323,354,1,sporadic
177,236,295,354,0,"A:(3,4,5,6)-multiple"
12,238,315,355,1,sporadic
70,115,350,355,0,sporadic
68,160,344,356,0,sporadic
96,266,294,356,0,sporadic
106,185,335,356,1,sporadic
174,239,297,356,1,sporadic
227,230,277,356,1,"B:Ramanujan(m,n)"
34,114,354,358,0,sporadic
27,165,348,360,0,sporadic
40,240,320,360,0,sporadic
100,152,348,360,0,sporadic
126,252,306,360,0,"B:Ramanujan(m,n)"
170,195,325,360,0,sporadic
180,240,300,360,0,"A:(3,4,5,6)-multiple"
232,236,276,360,0,"B:Ramanujan(m,n)"
57,190,342,361,0,sporadic
118,225,324,361,1,sporadic
20,151,353,362,1,sporadic
216,218,300,362,0,sporadic
95,229,327,363,1,sporadic
147,252,306,363,0,sporadic
40,273,303,364,1,sporadic
234,247,273,364,0,"B:Ramanujan(m,n)"
107,209,337,365,1,sporadic
57,276,303,366,0,"B:Ramanujan(m,n)"
183,244,305,366,0,"A:(3,4,5,6)-multiple"
24,288,296,368,0,"B:Ramanujan(m,n)"
116,271,305,368,1,sporadic
134,151,353,368,1,sporadic
216,240,296,368,0,"B:Ramanujan(m,n)"
18,153,360,369,0,sporadic
41,246,328,369,0,sporadic
54,288,297,369,0,sporadic
121,122,360,369,1,sporadic
132,153,354,369,0,sporadic
186,236,313,369,1,sporadic
114,136,360,370,0,sporadic
136,226,332,370,0,sporadic
203,238,308,371,0,sporadic
10,261,323,372,1,sporadic
36,242,334,372,0,sporadic
99,200,349,372,1,sporadic
128,216,340,372,0,sporadic
186,248,310,372,0,"A:(3,4,5,6)-multiple"
40,141,366,373,1,sporadic
72,257,327,374,1,sporadic
116,262,320,374,0,sporadic
60,255,330,375,0,sporadic
190,215,330,375,0,sporadic
230,244,298,376,0,"B:Ramanujan(m,n)"
143,195,351,377,0,sporadic
3,245,340,378,1,sporadic
42,92,376,378,0,sporadic
42,252,336,378,0,sporadic
69,282,315,378,0,"B:Ramanujan(m,n)"
84,133,371,378,0,sporadic
119,268,321,378,1,"B:Ramanujan(m,n)"
189,252,315,378,0,"A:(3,4,5,6)-multiple"
123,276,316,379,1,sporadic
60,200,360,380,0,sporadic
112,266,326,380,0,sporadic
133,266,323,380,0,"B:Ramanujan(m,n)"
155,165,360,380,0,sporadic
39,195,363,381,0,sporadic
242,262,285,381,1,sporadic
20,109,379,382,1,sporadic
78,292,312,382,0,sporadic
160,191,356,383,1,sporadic
